LibA,LibB,comparison,Operation,DimLabel,Variant,delta,delta_abs,magnitude
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,E10,Escape,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,E25,Escape,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,E25,Escape,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,E25,Escape,0.6355555555555555,0.6355555555555555,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,E25,Escape,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,E25,Escape,0.6888888888888889,0.6888888888888889,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,E25,Escape,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,E25,Escape,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,E25,Escape,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,E25,Escape,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,E25,Escape,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,E50,Escape,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,E50,Escape,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,E50,Escape,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,E50,Escape,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,E50,Escape,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,E50,Escape,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,E50,Escape,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,E50,Escape,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,E50,Escape,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,E50,Escape,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,E100,Escape,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,E100,Escape,-0.7511111111111111,0.7511111111111111,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,E100,Escape,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,E100,Escape,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,E100,Escape,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,E100,Escape,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,E100,Escape,-1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,E100,Escape,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,E100,Escape,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,E100,Escape,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,A0,UnicodeEscape,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,A0,UnicodeEscape,-1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,A0,UnicodeEscape,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,A0,UnicodeEscape,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,A0,UnicodeEscape,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,A0,UnicodeEscape,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,A0,UnicodeEscape,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,A0,UnicodeEscape,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,A0,UnicodeEscape,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,A0,UnicodeEscape,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,UE5,UnicodeEscape,-1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,UE5,UnicodeEscape,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,UE5,UnicodeEscape,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,UE5,UnicodeEscape,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,UE5,UnicodeEscape,1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,UE5,UnicodeEscape,1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,UE5,UnicodeEscape,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,UE5,UnicodeEscape,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,UE5,UnicodeEscape,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,UE5,UnicodeEscape,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,UE10,UnicodeEscape,0.39555555555555555,0.39555555555555555,M
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,UE10,UnicodeEscape,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,UE10,UnicodeEscape,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,UE10,UnicodeEscape,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,UE10,UnicodeEscape,1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,UE10,UnicodeEscape,1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,UE10,UnicodeEscape,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,UE10,UnicodeEscape,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,UE10,UnicodeEscape,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,UE10,UnicodeEscape,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,UE25,UnicodeEscape,0.6906666666666667,0.6906666666666667,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,UE25,UnicodeEscape,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,UE25,UnicodeEscape,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,UE25,UnicodeEscape,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,UE25,UnicodeEscape,1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,UE25,UnicodeEscape,0.98,0.98,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,UE25,UnicodeEscape,0.98,0.98,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,UE25,UnicodeEscape,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,UE25,UnicodeEscape,-1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,UE25,UnicodeEscape,0.9822222222222222,0.9822222222222222,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,UE50,UnicodeEscape,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,UE50,UnicodeEscape,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,UE50,UnicodeEscape,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,UE50,UnicodeEscape,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,UE50,UnicodeEscape,1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,UE50,UnicodeEscape,1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,UE50,UnicodeEscape,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,UE50,UnicodeEscape,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,UE50,UnicodeEscape,-1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,UE50,UnicodeEscape,-1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,UE100,UnicodeEscape,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,UE100,UnicodeEscape,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,UE100,UnicodeEscape,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,UE100,UnicodeEscape,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,UE100,UnicodeEscape,1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,UE100,UnicodeEscape,1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,UE100,UnicodeEscape,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,UE100,UnicodeEscape,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,UE100,UnicodeEscape,-1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,UE100,UnicodeEscape,-1,1,L
