Method,Iters,Ops,Mean,Error,StdDev,Pkg (μJ/op),StdDev (μJ/op),DRAM (μJ/op),Temp (°C),Gen0,Gen1,Allocated
STJRefGen_Ser_D20_W100_N,15,12320,"81,445.82 ns",427.979 ns,400.331 ns,2818.72 uj,13.01 uj,91.86 uj,50,4.0584,0,34168 B
STJRefGen_Ser_D20_W100_T,15,6608,"106,329.65 ns","1,953.696 ns","1,827.489 ns",3671.81 uj,68.67 uj,119.67 uj,50,3.9346,0,34168 B
STJRefGen_Ser_D20_W20_B,15,85728,"11,620.40 ns",54.283 ns,50.777 ns,400.40 uj,2.11 uj,13.05 uj,49.93,1.1898,0,9984 B
STJRefGen_Ser_D20_W20_N,15,79904,"12,495.01 ns",56.948 ns,53.269 ns,433.40 uj,2.18 uj,14.02 uj,49.9,1.214,0,10168 B
STJRefGen_Ser_D20_W20_T,15,60096,"16,673.87 ns",82.488 ns,77.159 ns,577.41 uj,2.71 uj,18.70 uj,49.87,1.2147,0,10168 B
STJRefGen_Ser_D20_W50_B,15,35744,"27,865.07 ns",204.990 ns,191.747 ns,971.21 uj,6.70 uj,31.32 uj,49.9,2.2102,0,18664 B
STJRefGen_Ser_D20_W50_N,15,31808,"30,759.68 ns",163.777 ns,153.197 ns,1068.74 uj,7.23 uj,34.72 uj,49.97,2.2636,0,19168 B
STJRefGen_Ser_D20_W50_T,15,6784,"43,458.87 ns",781.238 ns,730.771 ns,1495.94 uj,24.26 uj,48.97 uj,49.93,2.2111,0,19168 B
STJRefGen_Ser_D20_W5_B,15,250928,"3,954.30 ns",21.547 ns,20.155 ns,135.95 uj,0.65 uj,4.48 uj,49.9,0.6815,0,5728 B
STJRefGen_Ser_D20_W5_N,15,239456,"4,175.13 ns",20.930 ns,19.578 ns,144.59 uj,0.73 uj,4.79 uj,50.03,0.6891,0,5768 B
STJRefGen_Ser_D20_W5_T,15,192560,"5,199.57 ns",32.451 ns,30.355 ns,179.61 uj,1.20 uj,5.90 uj,49.7,0.6855,0,5768 B
STJRefGen_Ser_D2_W100_B,15,163840,"6,095.85 ns",28.510 ns,26.668 ns,214.87 uj,0.93 uj,6.91 uj,50.03,0.3845,0,3224 B
STJRefGen_Ser_D2_W100_N,15,129936,"7,704.47 ns",38.825 ns,36.317 ns,265.35 uj,1.33 uj,8.69 uj,50.23,0.3925,0,3312 B
STJRefGen_Ser_D2_W100_T,15,66000,"9,621.68 ns",90.473 ns,84.628 ns,331.37 uj,2.75 uj,10.81 uj,50.07,0.3939,0,3312 B
STJRefGen_Ser_D2_W20_B,15,849568,"1,163.76 ns",6.329 ns,5.920 ns,40.36 uj,0.22 uj,1.31 uj,50.07,0.1071,0,896 B
STJRefGen_Ser_D2_W20_N,15,739376,"1,338.67 ns",8.430 ns,7.886 ns,46.38 uj,0.31 uj,1.52 uj,50.13,0.1082,0,912 B
STJRefGen_Ser_D2_W20_T,15,579360,"1,721.74 ns",10.109 ns,9.456 ns,59.40 uj,0.36 uj,1.95 uj,49.93,0.1087,0,912 B
STJRefGen_Ser_D2_W50_B,15,378656,"2,626.90 ns",16.242 ns,15.192 ns,90.90 uj,0.80 uj,2.95 uj,49.97,0.2113,0,1768 B
STJRefGen_Ser_D2_W50_N,15,313344,"3,191.30 ns",18.245 ns,17.067 ns,111.45 uj,0.63 uj,3.59 uj,50.4,0.217,0,1816 B
STJRefGen_Ser_D2_W50_T,15,230080,"4,360.58 ns",25.283 ns,23.650 ns,149.96 uj,0.83 uj,4.94 uj,50.17,0.213,0,1816 B
STJRefGen_Ser_D2_W5_B,15,2447840,405.50 ns,1.853 ns,1.733 ns,14.10 uj,0.06 uj,0.47 uj,49.87,0.0564,0,472 B
STJRefGen_Ser_D2_W5_N,15,2172288,453.98 ns,2.440 ns,2.282 ns,15.77 uj,0.08 uj,0.52 uj,50.07,0.0562,0,472 B
STJRefGen_Ser_D2_W5_T,15,1788144,553.28 ns,2.944 ns,2.753 ns,19.36 uj,0.11 uj,0.63 uj,50.13,0.0559,0,472 B
STJRefGen_Ser_D5_W100_B,15,62368,"15,995.35 ns",85.351 ns,79.837 ns,556.51 uj,3.44 uj,18.10 uj,49.9,0.8979,0,7528 B
STJRefGen_Ser_D5_W100_N,15,51344,"19,310.98 ns",80.450 ns,75.253 ns,664.34 uj,2.62 uj,21.85 uj,49.97,0.9154,0,7776 B
STJRefGen_Ser_D5_W100_T,15,42352,"23,665.48 ns",132.259 ns,123.715 ns,827.03 uj,4.66 uj,26.70 uj,49.8,0.9209,0,7776 B
STJRefGen_Ser_D5_W20_B,15,373664,"2,665.40 ns",11.651 ns,10.898 ns,92.44 uj,0.57 uj,3.03 uj,49.83,0.2061,0,1728 B
STJRefGen_Ser_D5_W20_N,15,286416,"3,446.18 ns",17.091 ns,15.987 ns,118.78 uj,0.52 uj,3.88 uj,49.97,0.2095,0,1776 B
STJRefGen_Ser_D5_W20_T,15,241136,"4,127.40 ns",21.093 ns,19.730 ns,142.03 uj,0.67 uj,4.66 uj,49.77,0.2115,0,1776 B
STJRefGen_Ser_D5_W50_B,15,143120,"6,976.09 ns",30.524 ns,28.552 ns,239.99 uj,0.93 uj,7.84 uj,49.73,0.4612,0,3904 B
STJRefGen_Ser_D5_W50_N,15,122032,"8,208.68 ns",68.778 ns,64.335 ns,284.90 uj,2.26 uj,9.31 uj,49.97,0.4753,0,4024 B
STJRefGen_Ser_D5_W50_T,17,35248,"11,076.79 ns",209.398 ns,215.037 ns,381.94 uj,7.71 uj,12.49 uj,49.74,0.4539,0,4024 B
STJRefGen_Ser_D5_W5_B,15,1098736,905.97 ns,4.127 ns,3.860 ns,31.27 uj,0.13 uj,1.03 uj,49.8,0.0792,0,664 B
STJRefGen_Ser_D5_W5_N,15,969632,"1,029.48 ns",4.993 ns,4.671 ns,35.53 uj,0.16 uj,1.16 uj,49.57,0.0794,0,672 B
STJRefGen_Ser_D5_W5_T,15,798288,"1,244.21 ns",5.932 ns,5.549 ns,42.87 uj,0.19 uj,1.41 uj,49.93,0.0802,0,672 B
STJSrcGen_Deser_D10_W100_B,15,6944,"142,353.15 ns",573.948 ns,536.871 ns,4886.79 uj,19.04 uj,159.59 uj,50.17,0.432,0,4488 B
STJSrcGen_Deser_D10_W100_N,15,6480,"155,057.92 ns",692.365 ns,647.639 ns,5332.04 uj,25.17 uj,173.80 uj,50.37,0.7716,0,7448 B
STJSrcGen_Deser_D10_W100_T,15,6368,"157,267.39 ns",863.718 ns,807.922 ns,5421.98 uj,29.52 uj,176.44 uj,50.27,5.0251,0.4711,43048 B
STJSrcGen_Deser_D10_W20_B,15,72704,"13,829.86 ns",69.107 ns,64.643 ns,475.45 uj,2.15 uj,15.52 uj,50.1,0.4401,0,3688 B
STJSrcGen_Deser_D10_W20_N,15,61568,"16,286.05 ns",80.519 ns,75.318 ns,560.03 uj,2.69 uj,18.37 uj,50.23,0.5035,0,4248 B
STJSrcGen_Deser_D10_W20_T,15,53952,"18,441.08 ns",105.368 ns,98.561 ns,634.46 uj,3.23 uj,20.86 uj,50.3,1.316,0.0371,11048 B
STJSrcGen_Deser_D10_W50_B,15,29856,"33,577.86 ns",133.745 ns,125.105 ns,1153.83 uj,5.24 uj,37.76 uj,50.23,0.4689,0,4008 B
STJSrcGen_Deser_D10_W50_N,15,26128,"38,343.11 ns",169.263 ns,158.329 ns,1326.07 uj,7.14 uj,43.02 uj,50.3,0.6506,0,5448 B
STJSrcGen_Deser_D10_W50_T,15,21888,"45,560.01 ns",209.014 ns,195.512 ns,1568.21 uj,8.28 uj,51.11 uj,50.23,2.7412,0.1827,23048 B
STJSrcGen_Deser_D10_W5_B,15,255504,"3,917.54 ns",20.660 ns,19.325 ns,134.75 uj,0.65 uj,4.42 uj,50.3,0.4188,0,3528 B
STJSrcGen_Deser_D10_W5_N,15,225424,"4,443.51 ns",24.514 ns,22.931 ns,154.43 uj,0.91 uj,5.05 uj,50.5,0.4303,0,3608 B
STJSrcGen_Deser_D10_W5_T,15,195648,"5,107.99 ns",37.623 ns,35.192 ns,176.31 uj,1.18 uj,5.74 uj,50.07,0.6031,0.0051,5048 B
STJSrcGen_Deser_D20_W100_B,15,3760,"263,018.96 ns","1,265.092 ns","1,183.368 ns",9029.11 uj,42.92 uj,295.13 uj,50.33,1.0638,0,9376 B
STJSrcGen_Deser_D20_W100_N,15,3504,"282,485.76 ns","1,627.889 ns","1,522.728 ns",9754.40 uj,75.97 uj,317.12 uj,50.43,1.7123,0,15296 B
STJSrcGen_Deser_D20_W100_T,15,2928,"342,788.60 ns","1,674.965 ns","1,566.763 ns",11782.40 uj,58.98 uj,384.38 uj,49.87,10.2459,1.7077,86496 B
STJSrcGen_Deser_D20_W20_B,15,37264,"26,871.92 ns",119.477 ns,111.759 ns,923.51 uj,3.95 uj,30.17 uj,50.13,0.9124,0,7776 B
STJSrcGen_Deser_D20_W20_N,15,31696,"31,547.18 ns",114.247 ns,106.866 ns,1084.99 uj,3.71 uj,35.58 uj,50.13,1.0411,0,8896 B
STJSrcGen_Deser_D20_W20_T,15,26336,"37,769.03 ns",227.388 ns,212.699 ns,1296.74 uj,7.41 uj,42.76 uj,49.87,2.658,0.1519,22496 B
STJSrcGen_Deser_D20_W50_B,15,15024,"66,766.19 ns",292.330 ns,273.446 ns,2292.17 uj,9.98 uj,75.07 uj,49.87,0.9984,0,8416 B
STJSrcGen_Deser_D20_W50_N,15,12928,"77,561.63 ns",393.359 ns,367.948 ns,2663.26 uj,12.45 uj,87.24 uj,49.9,1.315,0,11296 B
STJSrcGen_Deser_D20_W50_T,15,10832,"91,868.54 ns",458.540 ns,428.918 ns,3156.17 uj,14.77 uj,103.21 uj,50.03,5.5391,0.5539,46496 B
STJSrcGen_Deser_D20_W5_B,15,127696,"7,831.46 ns",31.316 ns,29.293 ns,270.02 uj,1.32 uj,8.82 uj,49.97,0.8849,0.0078,7456 B
STJSrcGen_Deser_D20_W5_N,15,108928,"9,214.67 ns",42.126 ns,39.405 ns,317.58 uj,1.68 uj,10.50 uj,50.03,0.9089,0.0092,7616 B
STJSrcGen_Deser_D20_W5_T,15,93936,"10,622.53 ns",55.550 ns,51.962 ns,366.10 uj,1.79 uj,11.94 uj,49.83,1.2455,0.0319,10496 B
STJSrcGen_Deser_D2_W100_B,15,35376,"28,044.75 ns",139.654 ns,130.633 ns,962.93 uj,4.43 uj,31.44 uj,50.13,0.0848,0,728 B
STJSrcGen_Deser_D2_W100_N,15,32752,"30,587.58 ns",146.993 ns,137.497 ns,1050.64 uj,4.79 uj,34.34 uj,49.93,0.1527,0,1320 B
STJSrcGen_Deser_D2_W100_T,15,32128,"30,952.72 ns",169.276 ns,158.341 ns,1065.85 uj,5.33 uj,34.72 uj,50.2,0.996,0,8440 B
STJSrcGen_Deser_D2_W20_B,15,372800,"2,692.10 ns",12.636 ns,11.819 ns,92.57 uj,0.41 uj,3.04 uj,49.73,0.0671,0,568 B
STJSrcGen_Deser_D2_W20_N,15,317424,"3,158.55 ns",15.903 ns,14.875 ns,108.90 uj,0.48 uj,3.55 uj,49.97,0.0788,0,680 B
STJSrcGen_Deser_D2_W20_T,15,264960,"3,694.59 ns",28.941 ns,27.071 ns,127.01 uj,0.89 uj,4.17 uj,49.83,0.2415,0,2040 B
STJSrcGen_Deser_D2_W50_B,15,155088,"6,449.79 ns",29.161 ns,27.277 ns,221.66 uj,0.96 uj,7.25 uj,49.97,0.0709,0,632 B
STJSrcGen_Deser_D2_W50_N,15,132032,"7,561.97 ns",36.076 ns,33.746 ns,260.94 uj,1.42 uj,8.48 uj,49.87,0.106,0,920 B
STJSrcGen_Deser_D2_W50_T,15,106272,"9,351.71 ns",51.144 ns,47.840 ns,321.25 uj,1.57 uj,10.57 uj,50.2,0.5269,0,4440 B
STJSrcGen_Deser_D2_W5_B,15,1279424,778.58 ns,3.923 ns,3.670 ns,26.87 uj,0.13 uj,0.88 uj,50,0.0633,0,536 B
STJSrcGen_Deser_D2_W5_N,15,1112240,896.47 ns,4.214 ns,3.941 ns,30.98 uj,0.16 uj,1.01 uj,50.07,0.0656,0,552 B
STJSrcGen_Deser_D2_W5_T,15,992272,"1,003.73 ns",6.411 ns,5.996 ns,34.62 uj,0.21 uj,1.15 uj,49.87,0.0998,0,840 B
STJSrcGen_Deser_D5_W100_B,15,15472,"64,825.97 ns",292.558 ns,273.659 ns,2227.22 uj,10.22 uj,72.67 uj,50,0.1293,0,1112 B
STJSrcGen_Deser_D5_W100_N,15,14128,"70,995.13 ns",346.117 ns,323.758 ns,2437.06 uj,10.88 uj,79.68 uj,49.87,0.2831,0,2592 B
STJSrcGen_Deser_D5_W100_T,15,12080,"83,171.74 ns",411.432 ns,384.854 ns,2854.41 uj,13.42 uj,93.86 uj,49.67,2.4007,0.0828,20392 B
STJSrcGen_Deser_D5_W20_B,15,151168,"6,609.15 ns",30.826 ns,28.835 ns,226.99 uj,0.97 uj,7.42 uj,50,0.0794,0,712 B
STJSrcGen_Deser_D5_W20_N,15,125040,"7,986.92 ns",38.254 ns,35.783 ns,274.42 uj,1.20 uj,8.96 uj,50.13,0.112,0,992 B
STJSrcGen_Deser_D5_W20_T,15,108848,"9,191.74 ns",46.262 ns,43.274 ns,315.64 uj,1.48 uj,10.41 uj,49.73,0.5237,0,4392 B
STJSrcGen_Deser_D5_W50_B,15,60832,"16,436.73 ns",74.506 ns,69.693 ns,567.77 uj,2.89 uj,18.47 uj,49.7,0.0986,0,872 B
STJSrcGen_Deser_D5_W50_N,15,52064,"19,248.45 ns",100.993 ns,94.469 ns,661.19 uj,3.28 uj,21.64 uj,50.2,0.1729,0,1592 B
STJSrcGen_Deser_D5_W50_T,15,43664,"22,912.85 ns",130.579 ns,122.144 ns,787.75 uj,4.27 uj,25.91 uj,49.83,1.2367,0.0458,10392 B
STJSrcGen_Deser_D5_W5_B,15,542112,"1,840.95 ns",8.668 ns,8.108 ns,63.42 uj,0.29 uj,2.08 uj,49.93,0.0738,0,632 B
STJSrcGen_Deser_D5_W5_N,15,467040,"2,143.52 ns",10.007 ns,9.361 ns,73.83 uj,0.30 uj,2.42 uj,50.1,0.0792,0,672 B
STJSrcGen_Deser_D5_W5_T,15,392864,"2,448.35 ns",14.688 ns,13.739 ns,84.25 uj,0.47 uj,2.78 uj,49.9,0.1655,0,1392 B
STJSrcGen_Ser_D10_W100_B,15,49200,"19,269.37 ns",85.323 ns,79.811 ns,663.54 uj,3.25 uj,21.89 uj,50.03,1.7073,0,14392 B
STJSrcGen_Ser_D10_W100_N,15,46432,"21,608.68 ns",102.856 ns,96.211 ns,742.05 uj,3.44 uj,24.39 uj,50.2,1.766,0,14888 B
STJSrcGen_Ser_D10_W100_T,15,32752,"30,543.72 ns",142.798 ns,133.573 ns,1051.00 uj,5.01 uj,34.55 uj,50.03,1.7709,0,14888 B
STJSrcGen_Ser_D10_W20_B,15,276784,"3,617.28 ns",19.340 ns,18.091 ns,124.47 uj,0.61 uj,4.07 uj,50.33,0.3324,0,2800 B
STJSrcGen_Ser_D10_W20_N,15,248544,"4,034.44 ns",19.229 ns,17.986 ns,138.76 uj,0.58 uj,4.58 uj,50.13,0.342,0,2888 B
STJSrcGen_Ser_D10_W20_T,15,159184,"6,273.27 ns",35.121 ns,32.853 ns,215.94 uj,1.32 uj,7.04 uj,50.17,0.3392,0,2888 B
STJSrcGen_Ser_D10_W50_B,15,105280,"9,538.67 ns",47.982 ns,44.882 ns,328.34 uj,1.70 uj,10.80 uj,50.07,0.8454,0,7144 B
STJSrcGen_Ser_D10_W50_N,15,103024,"9,744.98 ns",48.720 ns,45.573 ns,336.43 uj,1.76 uj,10.95 uj,50,0.8833,0,7392 B
STJSrcGen_Ser_D10_W50_T,15,64928,"15,501.03 ns",70.297 ns,65.756 ns,535.11 uj,2.85 uj,17.50 uj,50.2,0.8779,0,7392 B
STJSrcGen_Ser_D10_W5_B,15,1002528,995.81 ns,5.133 ns,4.801 ns,34.34 uj,0.16 uj,1.13 uj,49.93,0.0798,0,672 B
STJSrcGen_Ser_D10_W5_N,15,984320,"1,015.35 ns",6.840 ns,6.398 ns,35.01 uj,0.22 uj,1.16 uj,50.1,0.0813,0,688 B
STJSrcGen_Ser_D10_W5_T,15,643248,"1,555.77 ns",8.529 ns,7.978 ns,53.75 uj,0.27 uj,1.76 uj,50.1,0.0808,0,688 B
STJSrcGen_Ser_D20_W100_B,15,23456,"40,439.70 ns",232.143 ns,217.146 ns,1390.91 uj,6.85 uj,45.78 uj,50,3.4106,0,28776 B
STJSrcGen_Ser_D20_W100_N,15,25632,"39,897.06 ns",193.346 ns,180.856 ns,1369.95 uj,6.56 uj,44.82 uj,49.9,3.5112,0,29752 B
STJSrcGen_Ser_D20_W100_T,15,16016,"62,474.21 ns",325.447 ns,304.423 ns,2148.86 uj,11.70 uj,70.23 uj,50.2,3.4965,0,29752 B
STJSrcGen_Ser_D20_W20_B,15,131280,"7,396.20 ns",41.954 ns,39.244 ns,254.22 uj,1.36 uj,8.39 uj,49.8,0.6627,0,5568 B
STJSrcGen_Ser_D20_W20_N,15,127424,"7,874.53 ns",44.357 ns,41.492 ns,270.39 uj,1.47 uj,8.93 uj,49.8,0.6828,0,5752 B
STJSrcGen_Ser_D20_W20_T,15,79296,"12,630.09 ns",54.521 ns,50.999 ns,433.87 uj,1.70 uj,14.17 uj,49.83,0.681,0,5752 B
STJSrcGen_Ser_D20_W50_B,15,52640,"19,106.76 ns",96.302 ns,90.081 ns,657.39 uj,3.15 uj,21.69 uj,49.73,1.6907,0,14248 B
STJSrcGen_Ser_D20_W50_N,15,49344,"20,296.44 ns",119.047 ns,111.357 ns,697.02 uj,3.96 uj,22.96 uj,49.6,1.7429,0,14752 B
STJSrcGen_Ser_D20_W50_T,15,31200,"32,133.72 ns",154.897 ns,144.890 ns,1109.94 uj,5.91 uj,36.05 uj,50.13,1.7308,0,14752 B
STJSrcGen_Ser_D20_W5_B,15,507328,"1,974.04 ns",10.777 ns,10.081 ns,67.91 uj,0.36 uj,2.24 uj,49.97,0.1557,0,1312 B
STJSrcGen_Ser_D20_W5_N,15,489920,"2,043.82 ns",9.165 ns,8.573 ns,70.34 uj,0.38 uj,2.32 uj,49.87,0.1613,0,1352 B
STJSrcGen_Ser_D20_W5_T,15,327120,"3,061.08 ns",14.229 ns,13.310 ns,105.30 uj,0.43 uj,3.45 uj,49.7,0.159,0,1352 B
STJSrcGen_Ser_D2_W100_B,15,255456,"3,920.56 ns",19.690 ns,18.418 ns,134.91 uj,0.66 uj,4.41 uj,50.07,0.3445,0,2912 B
STJSrcGen_Ser_D2_W100_N,15,247616,"4,045.15 ns",20.329 ns,19.016 ns,139.00 uj,0.76 uj,4.60 uj,49.83,0.3554,0,3000 B
STJSrcGen_Ser_D2_W100_T,15,154480,"6,331.37 ns",34.839 ns,32.588 ns,217.55 uj,1.09 uj,7.16 uj,50.13,0.356,0,3000 B
STJSrcGen_Ser_D2_W20_B,15,1228944,807.02 ns,3.591 ns,3.359 ns,28.02 uj,0.12 uj,0.91 uj,49.97,0.0692,0,584 B
STJSrcGen_Ser_D2_W20_N,15,1128768,881.49 ns,4.381 ns,4.098 ns,30.43 uj,0.14 uj,1.00 uj,49.83,0.0709,0,600 B
STJSrcGen_Ser_D2_W20_T,15,763584,"1,302.33 ns",6.519 ns,6.098 ns,44.87 uj,0.22 uj,1.47 uj,50.1,0.0707,0,600 B
STJSrcGen_Ser_D2_W50_B,15,503728,"1,985.07 ns",9.890 ns,9.251 ns,68.31 uj,0.31 uj,2.26 uj,49.8,0.1727,0,1456 B
STJSrcGen_Ser_D2_W50_N,15,459568,"2,179.93 ns",12.461 ns,11.656 ns,74.99 uj,0.40 uj,2.47 uj,49.97,0.1784,0,1504 B
STJSrcGen_Ser_D2_W50_T,15,305168,"3,274.85 ns",17.044 ns,15.943 ns,112.54 uj,0.56 uj,3.68 uj,50.17,0.177,0,1504 B
STJSrcGen_Ser_D2_W5_B,15,3648432,270.53 ns,1.213 ns,1.135 ns,9.44 uj,0.04 uj,0.31 uj,49.87,0.0189,0,160 B
STJSrcGen_Ser_D2_W5_N,15,3589504,265.79 ns,1.512 ns,1.414 ns,9.28 uj,0.05 uj,0.31 uj,50.03,0.0189,0,160 B
STJSrcGen_Ser_D2_W5_T,15,2628016,375.88 ns,2.591 ns,2.423 ns,13.06 uj,0.08 uj,0.43 uj,50.27,0.019,0,160 B
STJSrcGen_Ser_D5_W100_B,15,104160,"9,621.66 ns",50.294 ns,47.045 ns,331.30 uj,1.84 uj,10.92 uj,49.9,0.8545,0,7216 B
STJSrcGen_Ser_D5_W100_N,15,96944,"9,864.94 ns",45.972 ns,43.002 ns,338.70 uj,1.52 uj,11.07 uj,49.7,0.8871,0,7464 B
STJSrcGen_Ser_D5_W100_T,15,62336,"15,722.64 ns",101.063 ns,94.534 ns,540.48 uj,3.41 uj,17.77 uj,49.83,0.8823,0,7464 B
STJSrcGen_Ser_D5_W20_B,15,534208,"1,874.61 ns",10.370 ns,9.700 ns,64.60 uj,0.42 uj,2.13 uj,49.77,0.1685,0,1416 B
STJSrcGen_Ser_D5_W20_N,15,468400,"2,130.95 ns",10.084 ns,9.432 ns,73.31 uj,0.32 uj,2.40 uj,49.87,0.1729,0,1464 B
STJSrcGen_Ser_D5_W20_T,15,313088,"3,195.68 ns",17.031 ns,15.931 ns,109.85 uj,0.55 uj,3.59 uj,49.9,0.1725,0,1464 B
STJSrcGen_Ser_D5_W50_B,15,195680,"4,854.04 ns",30.008 ns,28.069 ns,166.76 uj,0.97 uj,5.45 uj,49.87,0.4293,0,3592 B
STJSrcGen_Ser_D5_W50_N,15,204816,"4,869.11 ns",29.054 ns,27.177 ns,167.24 uj,0.89 uj,5.48 uj,49.87,0.4394,0,3712 B
STJSrcGen_Ser_D5_W50_T,15,128048,"7,825.52 ns",38.963 ns,36.446 ns,268.77 uj,1.24 uj,8.80 uj,49.83,0.4373,0,3712 B
STJSrcGen_Ser_D5_W5_B,15,1769248,561.21 ns,2.811 ns,2.630 ns,19.41 uj,0.11 uj,0.63 uj,49.57,0.0418,0,352 B
STJSrcGen_Ser_D5_W5_N,15,1713888,580.66 ns,3.988 ns,3.731 ns,20.08 uj,0.13 uj,0.66 uj,49.73,0.0426,0,360 B
STJSrcGen_Ser_D5_W5_T,15,1210864,822.68 ns,3.826 ns,3.579 ns,28.39 uj,0.12 uj,0.93 uj,49.97,0.0429,0,360 B
SpanJson_Deser_D10_W100_B,15,25633,"39,039.63 ns",195.291 ns,182.675 ns,1316.26 uj,8.03 uj,43.79 uj,49.47,0.117,0,1280 B
SpanJson_Deser_D10_W100_N,15,15891,"63,258.42 ns",664.918 ns,621.965 ns,2156.40 uj,21.95 uj,70.96 uj,49.4,0.5034,0,4240 B
SpanJson_Deser_D10_W100_T,15,11427,"87,162.04 ns",357.190 ns,334.115 ns,2992.01 uj,11.69 uj,98.41 uj,49.47,4.7256,0.5251,39840 B
SpanJson_Deser_D10_W20_B,15,202736,"4,937.11 ns",22.357 ns,20.912 ns,169.65 uj,0.68 uj,5.55 uj,50.07,0.0543,0,480 B
SpanJson_Deser_D10_W20_N,15,168808,"5,927.09 ns",30.663 ns,28.682 ns,203.45 uj,1.13 uj,6.65 uj,50.07,0.1185,0,1040 B
SpanJson_Deser_D10_W20_T,15,91721,"10,870.53 ns",53.382 ns,49.933 ns,373.13 uj,1.77 uj,12.19 uj,50.17,0.9267,0.0218,7840 B
SpanJson_Deser_D10_W50_B,15,68636,"14,612.25 ns",125.256 ns,117.165 ns,501.40 uj,3.98 uj,16.39 uj,49.9,0.0874,0,800 B
SpanJson_Deser_D10_W50_N,15,60738,"16,453.31 ns",56.021 ns,52.402 ns,564.79 uj,1.78 uj,18.48 uj,50,0.2634,0,2240 B
SpanJson_Deser_D10_W50_T,15,34961,"28,470.18 ns",106.883 ns,99.979 ns,976.91 uj,3.18 uj,31.99 uj,49.73,2.3455,0.143,19840 B
SpanJson_Deser_D10_W5_B,15,775136,"1,288.24 ns",5.487 ns,5.132 ns,44.37 uj,0.17 uj,1.46 uj,50.27,0.0374,0,320 B
SpanJson_Deser_D10_W5_N,15,696800,"1,432.48 ns",6.452 ns,6.035 ns,49.49 uj,0.23 uj,1.61 uj,50.27,0.0474,0,400 B
SpanJson_Deser_D10_W5_T,15,409456,"2,439.49 ns",11.179 ns,10.457 ns,83.90 uj,0.36 uj,2.74 uj,50.23,0.2198,0,1840 B
SpanJson_Deser_D20_W100_B,15,12787,"78,263.59 ns",510.953 ns,477.945 ns,2613.58 uj,16.86 uj,87.75 uj,48.87,0.2346,0,2560 B
SpanJson_Deser_D20_W100_N,15,7930,"126,649.18 ns",824.458 ns,771.198 ns,4326.12 uj,28.02 uj,142.01 uj,49.37,1.0088,0,8480 B
SpanJson_Deser_D20_W100_T,15,5718,"174,506.41 ns",966.899 ns,904.438 ns,5977.83 uj,32.34 uj,196.60 uj,49.47,9.4439,1.7489,79680 B
SpanJson_Deser_D20_W20_B,15,102000,"9,798.04 ns",49.330 ns,46.143 ns,336.42 uj,1.58 uj,11.02 uj,49.73,0.10780000000000001,0,960 B
SpanJson_Deser_D20_W20_N,15,84337,"11,853.82 ns",113.828 ns,106.475 ns,406.92 uj,3.68 uj,13.30 uj,50.23,0.2371,0,2080 B
SpanJson_Deser_D20_W20_T,15,45988,"21,678.93 ns",89.527 ns,83.743 ns,743.92 uj,2.90 uj,24.49 uj,49.8,1.8701,0.087,15680 B
SpanJson_Deser_D20_W50_B,15,34247,"29,266.92 ns",250.741 ns,234.543 ns,998.02 uj,8.65 uj,32.82 uj,49.77,0.1752,0,1600 B
SpanJson_Deser_D20_W50_N,15,30353,"32,918.72 ns",131.939 ns,123.416 ns,1129.62 uj,4.09 uj,36.98 uj,49.53,0.5271,0,4480 B
SpanJson_Deser_D20_W50_T,15,17399,"57,169.93 ns",191.625 ns,179.246 ns,1962.27 uj,6.33 uj,64.17 uj,49.93,4.7129,0.5173,39680 B
SpanJson_Deser_D20_W5_B,15,384960,"2,600.41 ns",11.649 ns,10.896 ns,89.39 uj,0.37 uj,2.93 uj,50.17,0.0753,0,640 B
SpanJson_Deser_D20_W5_N,15,347856,"2,875.17 ns",12.956 ns,12.119 ns,98.87 uj,0.51 uj,3.23 uj,49.9,0.0949,0,800 B
SpanJson_Deser_D20_W5_T,15,209616,"4,761.40 ns",20.828 ns,19.483 ns,163.58 uj,0.69 uj,5.41 uj,49.97,0.4389,0.0048,3680 B
SpanJson_Deser_D2_W100_B,15,136515,"7,325.54 ns",43.556 ns,40.742 ns,245.62 uj,1.53 uj,8.22 uj,49.03,0.0293,0,256 B
SpanJson_Deser_D2_W100_N,15,77867,"12,874.96 ns",80.382 ns,75.189 ns,431.96 uj,2.32 uj,14.43 uj,49.2,0.0899,0,848 B
SpanJson_Deser_D2_W100_T,15,57067,"17,446.18 ns",83.527 ns,78.132 ns,593.21 uj,3.13 uj,19.66 uj,49.4,0.9463,0.0175,7968 B
SpanJson_Deser_D2_W20_B,15,1125344,885.26 ns,4.494 ns,4.204 ns,30.59 uj,0.15 uj,1.00 uj,49.97,0.0107,0,96 B
SpanJson_Deser_D2_W20_N,15,831716,"1,202.03 ns",6.858 ns,6.415 ns,41.26 uj,0.22 uj,1.35 uj,49.57,0.024,0,208 B
SpanJson_Deser_D2_W20_T,15,464022,"2,161.48 ns",9.434 ns,8.825 ns,74.21 uj,0.33 uj,2.44 uj,49.6,0.1853,0,1568 B
SpanJson_Deser_D2_W50_B,15,372782,"2,698.39 ns",26.372 ns,24.669 ns,92.57 uj,0.85 uj,3.03 uj,49.6,0.0188,0,160 B
SpanJson_Deser_D2_W50_N,15,302254,"3,316.49 ns",29.879 ns,27.949 ns,113.80 uj,0.95 uj,3.73 uj,49.6,0.0529,0,448 B
