LibA,LibB,comparison,Operation,DimLabel,Variant,delta,delta_abs,magnitude,Dimension
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,D40,All,-1,1,L,depth
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,D40,All,1,1,L,depth
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,D40,All,1,1,L,depth
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,C10,All,1,1,L,size
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,C10,All,1,1,L,size
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,C10,All,1,1,L,size
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,C10,All,1,1,L,size
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,C10,All,-1,1,L,size
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,C10,All,-1,1,L,size
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,C10,All,1,1,L,size
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,C10,All,-1,1,L,size
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,C10,All,1,1,L,size
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,C10,All,1,1,L,size
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,C100,All,1,1,L,size
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,C100,All,1,1,L,size
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,C100,All,1,1,L,size
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,C100,All,1,1,L,size
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,C100,All,-1,1,L,size
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,C100,All,-1,1,L,size
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,C100,All,1,1,L,size
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,C100,All,-1,1,L,size
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,C100,All,1,1,L,size
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,C100,All,1,1,L,size
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,C1K,All,1,1,L,size
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,C1K,All,1,1,L,size
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,C1K,All,1,1,L,size
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,C1K,All,1,1,L,size
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,C1K,All,-1,1,L,size
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,C1K,All,-1,1,L,size
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,C1K,All,1,1,L,size
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,C1K,All,1,1,L,size
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,C1K,All,1,1,L,size
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,C1K,All,1,1,L,size
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,C10K,All,1,1,L,size
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,C10K,All,1,1,L,size
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,C10K,All,1,1,L,size
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,C10K,All,1,1,L,size
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,C10K,All,-1,1,L,size
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,C10K,All,-1,1,L,size
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,C10K,All,1,1,L,size
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,C10K,All,0.07555555555555556,0.07555555555555556,N,size
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,C10K,All,1,1,L,size
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,C10K,All,1,1,L,size
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,C100K,All,0.864,0.864,L,size
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,C100K,All,0.5856,0.5856,L,size
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,C100K,All,0.5856,0.5856,L,size
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,C100K,All,1,1,L,size
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,C100K,All,-0.47,0.47,M,size
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,C100K,All,-0.4812,0.4812,L,size
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,C100K,All,1,1,L,size
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,C100K,All,-0.3542,0.3542,M,size
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,C100K,All,1,1,L,size
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,C100K,All,1,1,L,size
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,C10,All,-1,1,L,size
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,C10,All,-1,1,L,size
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,C10,All,-1,1,L,size
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,C10,All,-1,1,L,size
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,C10,All,-1,1,L,size
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,C10,All,-1,1,L,size
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,C10,All,-1,1,L,size
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,C10,All,-1,1,L,size
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,C10,All,1,1,L,size
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,C10,All,1,1,L,size
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,C100,All,0.8844444444444445,0.8844444444444445,L,size
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,C100,All,-1,1,L,size
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,C100,All,-1,1,L,size
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,C100,All,-1,1,L,size
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,C100,All,-1,1,L,size
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,C100,All,-1,1,L,size
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,C100,All,-1,1,L,size
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,C100,All,-1,1,L,size
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,C100,All,1,1,L,size
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,C100,All,1,1,L,size
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,C1K,All,-1,1,L,size
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,C1K,All,-1,1,L,size
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,C1K,All,-1,1,L,size
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,C1K,All,-0.9428571428571428,0.9428571428571428,L,size
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,C1K,All,-1,1,L,size
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,C1K,All,-1,1,L,size
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,C1K,All,0.580952380952381,0.580952380952381,L,size
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,C1K,All,-1,1,L,size
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,C1K,All,1,1,L,size
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,C1K,All,1,1,L,size
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,C10K,All,1,1,L,size
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,C10K,All,-1,1,L,size
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,C10K,All,-1,1,L,size
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,C10K,All,1,1,L,size
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,C10K,All,-1,1,L,size
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,C10K,All,-1,1,L,size
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,C10K,All,-0.875,0.875,L,size
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,C10K,All,-1,1,L,size
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,C10K,All,1,1,L,size
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,C10K,All,1,1,L,size
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,C100K,All,1,1,L,size
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,C100K,All,-1,1,L,size
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,C100K,All,-1,1,L,size
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,C100K,All,1,1,L,size
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,C100K,All,-1,1,L,size
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,C100K,All,-1,1,L,size
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,C100K,All,0.9904761904761905,0.9904761904761905,L,size
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,C100K,All,-1,1,L,size
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,C100K,All,1,1,L,size
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,C100K,All,1,1,L,size
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,A0,Unicode,1,1,L,string_composition
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,A0,Unicode,1,1,L,string_composition
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,A0,Unicode,1,1,L,string_composition
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,A0,Unicode,1,1,L,string_composition
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,A0,Unicode,-1,1,L,string_composition
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,A0,Unicode,-1,1,L,string_composition
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,A0,Unicode,1,1,L,string_composition
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,A0,Unicode,0.55,0.55,L,string_composition
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,A0,Unicode,1,1,L,string_composition
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,A0,Unicode,1,1,L,string_composition
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,U5,Unicode,1,1,L,string_composition
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,U5,Unicode,1,1,L,string_composition
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,U5,Unicode,1,1,L,string_composition
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,U5,Unicode,1,1,L,string_composition
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,U5,Unicode,0.9022222222222223,0.9022222222222223,L,string_composition
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,U5,Unicode,0.6711111111111111,0.6711111111111111,L,string_composition
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,U5,Unicode,1,1,L,string_composition
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,U5,Unicode,-0.8311111111111111,0.8311111111111111,L,string_composition
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,U5,Unicode,1,1,L,string_composition
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,U5,Unicode,1,1,L,string_composition
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,U10,Unicode,1,1,L,string_composition
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,U10,Unicode,1,1,L,string_composition
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,U10,Unicode,1,1,L,string_composition
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,U10,Unicode,1,1,L,string_composition
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,U10,Unicode,-1,1,L,string_composition
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,U10,Unicode,-1,1,L,string_composition
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,U10,Unicode,1,1,L,string_composition
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,U10,Unicode,-0.9022222222222223,0.9022222222222223,L,string_composition
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,U10,Unicode,1,1,L,string_composition
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,U10,Unicode,1,1,L,string_composition
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,U25,Unicode,1,1,L,string_composition
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,U25,Unicode,1,1,L,string_composition
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,U25,Unicode,1,1,L,string_composition
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,U25,Unicode,1,1,L,string_composition
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,U25,Unicode,0.8133333333333334,0.8133333333333334,L,string_composition
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,U25,Unicode,-0.92,0.92,L,string_composition
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,U25,Unicode,-1,1,L,string_composition
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,U25,Unicode,-1,1,L,string_composition
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,U25,Unicode,-1,1,L,string_composition
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,U25,Unicode,-1,1,L,string_composition
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,U50,Unicode,1,1,L,string_composition
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,U50,Unicode,1,1,L,string_composition
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,U50,Unicode,1,1,L,string_composition
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,U50,Unicode,1,1,L,string_composition
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,U50,Unicode,-1,1,L,string_composition
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,U50,Unicode,-1,1,L,string_composition
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,U50,Unicode,-1,1,L,string_composition
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,U50,Unicode,0.24444444444444444,0.24444444444444444,S,string_composition
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,U50,Unicode,-1,1,L,string_composition
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,U50,Unicode,-1,1,L,string_composition
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,U100,Unicode,1,1,L,string_composition
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,U100,Unicode,1,1,L,string_composition
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,U100,Unicode,1,1,L,string_composition
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,U100,Unicode,1,1,L,string_composition
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,U100,Unicode,-1,1,L,string_composition
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,U100,Unicode,-1,1,L,string_composition
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,U100,Unicode,-1,1,L,string_composition
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,U100,Unicode,1,1,L,string_composition
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,U100,Unicode,-1,1,L,string_composition
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,U100,Unicode,-1,1,L,string_composition
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,A0,Escape,1,1,L,string_composition
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,A0,Escape,1,1,L,string_composition
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,A0,Escape,1,1,L,string_composition
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,A0,Escape,1,1,L,string_composition
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,A0,Escape,-1,1,L,string_composition
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,A0,Escape,-1,1,L,string_composition
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,A0,Escape,1,1,L,string_composition
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,A0,Escape,0.55,0.55,L,string_composition
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,A0,Escape,1,1,L,string_composition
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,A0,Escape,1,1,L,string_composition
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,E5,Escape,1,1,L,string_composition
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,E5,Escape,1,1,L,string_composition
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,E5,Escape,1,1,L,string_composition
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,E5,Escape,1,1,L,string_composition
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,E5,Escape,-0.5555555555555556,0.5555555555555556,L,string_composition
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,E5,Escape,0.6711111111111111,0.6711111111111111,L,string_composition
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,E5,Escape,1,1,L,string_composition
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,E5,Escape,0.7688888888888888,0.7688888888888888,L,string_composition
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,E5,Escape,1,1,L,string_composition
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,E5,Escape,1,1,L,string_composition
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,E10,Escape,1,1,L,string_composition
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,E10,Escape,1,1,L,string_composition
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,E10,Escape,1,1,L,string_composition
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,E10,Escape,1,1,L,string_composition
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,E10,Escape,1,1,L,string_composition
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,E10,Escape,1,1,L,string_composition
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,E10,Escape,1,1,L,string_composition
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,E10,Escape,-0.8844444444444445,0.8844444444444445,L,string_composition
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,E10,Escape,1,1,L,string_composition
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,E10,Escape,1,1,L,string_composition
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,E25,Escape,1,1,L,string_composition
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,E25,Escape,1,1,L,string_composition
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,E25,Escape,1,1,L,string_composition
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,E25,Escape,1,1,L,string_composition
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,E25,Escape,1,1,L,string_composition
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,E25,Escape,1,1,L,string_composition
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,E25,Escape,1,1,L,string_composition
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,E25,Escape,-0.8844444444444445,0.8844444444444445,L,string_composition
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,E25,Escape,1,1,L,string_composition
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,E25,Escape,1,1,L,string_composition
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,E50,Escape,1,1,L,string_composition
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,E50,Escape,1,1,L,string_composition
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,E50,Escape,1,1,L,string_composition
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,E50,Escape,1,1,L,string_composition
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,E50,Escape,1,1,L,string_composition
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,E50,Escape,1,1,L,string_composition
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,E50,Escape,-1,1,L,string_composition
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,E50,Escape,1,1,L,string_composition
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,E50,Escape,-1,1,L,string_composition
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,E50,Escape,-1,1,L,string_composition
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,E100,Escape,1,1,L,string_composition
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,E100,Escape,1,1,L,string_composition
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,E100,Escape,1,1,L,string_composition
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,E100,Escape,-1,1,L,string_composition
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,E100,Escape,-1,1,L,string_composition
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,E100,Escape,-1,1,L,string_composition
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,E100,Escape,-1,1,L,string_composition
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,E100,Escape,-0.8755555555555555,0.8755555555555555,L,string_composition
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,E100,Escape,-1,1,L,string_composition
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,E100,Escape,-1,1,L,string_composition
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,A0,UnicodeEscape,1,1,L,string_composition
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,A0,UnicodeEscape,1,1,L,string_composition
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,A0,UnicodeEscape,1,1,L,string_composition
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,A0,UnicodeEscape,1,1,L,string_composition
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,A0,UnicodeEscape,-1,1,L,string_composition
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,A0,UnicodeEscape,-1,1,L,string_composition
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,A0,UnicodeEscape,1,1,L,string_composition
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,A0,UnicodeEscape,0.55,0.55,L,string_composition
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,A0,UnicodeEscape,1,1,L,string_composition
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,A0,UnicodeEscape,1,1,L,string_composition
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,UE5,UnicodeEscape,1,1,L,string_composition
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,UE5,UnicodeEscape,1,1,L,string_composition
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,UE5,UnicodeEscape,1,1,L,string_composition
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,UE5,UnicodeEscape,1,1,L,string_composition
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,UE5,UnicodeEscape,0.8755555555555555,0.8755555555555555,L,string_composition
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,UE5,UnicodeEscape,-0.76,0.76,L,string_composition
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,UE5,UnicodeEscape,1,1,L,string_composition
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,UE5,UnicodeEscape,-0.9644444444444444,0.9644444444444444,L,string_composition
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,UE5,UnicodeEscape,1,1,L,string_composition
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,UE5,UnicodeEscape,1,1,L,string_composition
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,UE10,UnicodeEscape,1,1,L,string_composition
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,UE10,UnicodeEscape,1,1,L,string_composition
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,UE10,UnicodeEscape,1,1,L,string_composition
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,UE10,UnicodeEscape,1,1,L,string_composition
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,UE10,UnicodeEscape,1,1,L,string_composition
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,UE10,UnicodeEscape,1,1,L,string_composition
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,UE10,UnicodeEscape,1,1,L,string_composition
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,UE10,UnicodeEscape,-0.6711111111111111,0.6711111111111111,L,string_composition
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,UE10,UnicodeEscape,1,1,L,string_composition
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,UE10,UnicodeEscape,1,1,L,string_composition
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,UE25,UnicodeEscape,1,1,L,string_composition
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,UE25,UnicodeEscape,1,1,L,string_composition
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,UE25,UnicodeEscape,1,1,L,string_composition
